reference,V,coverage,H_pS_bits,selection
subtlex-uk,2,0.0731056536939,0.943737641002,top-frequency
subtlex-uk,3,0.0969494389498,1.51641461493,top-frequency
subtlex-uk,4,0.118481508635,1.92468598481,top-frequency
subtlex-uk,5,0.139888310527,2.2475213216,top-frequency
subtlex-uk,6,0.160986109935,2.51329615507,top-frequency
subtlex-uk,7,0.181704025723,2.7386538496,top-frequency
subtlex-uk,8,0.200443293406,2.93062955809,top-frequency
subtlex-uk,9,0.217228662136,3.09666618877,top-frequency
subtlex-uk,10,0.23265021476,3.24330920359,top-frequency
subtlex-uk,11,0.247761094135,3.37686195577,top-frequency
subtlex-uk,12,0.262386692809,3.4989329842,top-frequency
subtlex-uk,13,0.272369396166,3.59741458121,top-frequency
subtlex-uk,14,0.280832054396,3.68407383401,top-frequency
subtlex-uk,15,0.288721248198,3.76420007262,top-frequency
subtlex-uk,16,0.296500379665,3.84059242766,top-frequency
subtlex-uk,17,0.304278509665,3.91404200716,top-frequency
subtlex-uk,18,0.311760487701,3.98344928535,top-frequency
subtlex-uk,19,0.319130122832,4.0499306018,top-frequency
subtlex-uk,20,0.326275215925,4.11321522291,top-frequency
subtlex-uk,21,0.332981120641,4.17259944999,top-frequency
subtlex-uk,22,0.339602396345,4.22985344113,top-frequency
subtlex-uk,23,0.346213528466,4.28541379666,top-frequency
subtlex-uk,24,0.352577362419,4.33840851769,top-frequency
subtlex-uk,26,0.364337969106,4.43633463969,top-frequency
subtlex-uk,27,0.369996908339,4.48261763656,top-frequency
subtlex-uk,28,0.375253877119,4.52614974183,top-frequency
subtlex-uk,29,0.380462185457,4.56855163194,top-frequency
subtlex-uk,30,0.385359741221,4.60874955031,top-frequency
subtlex-uk,32,0.394460954346,4.68375865418,top-frequency
subtlex-uk,33,0.398515477243,4.7180506715,top-frequency
subtlex-uk,34,0.402184241572,4.74992750388,top-frequency
subtlex-uk,36,0.409369804884,4.81157572966,top-frequency
subtlex-uk,37,0.412924927374,4.84157787209,top-frequency
subtlex-uk,39,0.419796907229,4.89923299309,top-frequency
subtlex-uk,41,0.42656394116,4.9549166331,top-frequency
subtlex-uk,42,0.429846441229,4.98175980461,top-frequency
subtlex-uk,44,0.436321690986,5.03406462221,top-frequency
subtlex-uk,46,0.442724443377,5.08482275024,top-frequency
subtlex-uk,48,0.449079779725,5.1342195337,top-frequency
subtlex-uk,50,0.455360739714,5.18219780139,top-frequency
subtlex-uk,52,0.461555008263,5.22876849694,top-frequency
subtlex-uk,55,0.470437995541,5.29507925166,top-frequency
subtlex-uk,57,0.476073558922,5.3369786714,top-frequency
subtlex-uk,60,0.484161464817,5.39681753492,top-frequency
subtlex-uk,62,0.489461149681,5.43544145063,top-frequency
subtlex-uk,65,0.497139375802,5.49100499694,top-frequency
subtlex-uk,68,0.504275197879,5.54291712891,top-frequency
subtlex-uk,71,0.511034378714,5.592060867,top-frequency
subtlex-uk,74,0.51770610957,5.63979711929,top-frequency
subtlex-uk,77,0.524210848101,5.68585002132,top-frequency
subtlex-uk,80,0.530454808306,5.7298955022,top-frequency
