word,weight
-bye,1
-cides,1
-in-law,1
-ing,3
-ish,3
-ism,1
-isms,2
-ists,2
-six,2
-slo-vak-i-a,1
-ta,1
-two,1
a,193592
a-b,1
a-boogie,1
a-changing,1
a-f-bout,1
a-level,9
a-levels,3
a-munching,1
a-names,1
a-quiver,1
a-raving,1
a-side,1
a-tens,1
a-weighted,1
aa,2
aaaaaaah,1
aaaaaggghhh,1
aaaaagh,1
aaaah,3
aaaeeeyaaa,1
aaagh,7
aaargh,2
aagh,17
aah,86
aahh,1
aahs,3
aann,1
aar,1
aargh,170
aaron,122
ab,51
aba,1
ababa,1
aback,5
abacus,2
abalance,2
aban,1
abandon,30
abandoned,41
abandoning,4
abandonment,6
abandons,1
abasin,1
abate,1
abated,7
abatement,4
abating,3
abattoir,4
abattoirs,3
abba,7
abbel,4
abberton,1
abbey,122
abbeys,1
abbie,7
abbot,9
abbots,8
abbotsbury,3
abbotsonians,1
abbott,11
abbreviate,2
abbreviated,10
abbreviating,1
abbreviation,13
abbreviations,7
abbs,1
abby,8
abdabs,1
abdicate,3
abdicated,11
abdicating,2
abdication,7
abdomen,9
abdominal,3
abduct,3
abducted,5
abducting,3
abduction,10
abdul,10
abdullah,10
abe,2
abel,5
abercanny,1
aberdale,2
aberdeen,72
aberdonian,2
aberech,1
aberfan,2
abergavenny,2
aberrant,1
aberration,4
abers,2
aberystwyth,8
abet,1
abetted,1
abetting,2
abeyance,4
abhor,3
abhorred,4
abhorrent,5
abhors,1
abi,1
abide,13
abides,4
abideth,2
abiding,17
abigail,3
abilitating,1
abilities,55
ability,403
abing,1
abingdon,135
abington,7
abject,2
abjectness,1
abl,2
ablaze,4
able,3520
able-bodied,1
ablebodied,1
ablett,1
ably,2
abmaphd,1
abnegate,1
abnegation,2
abnormal,19
abnormalities,1
abnormality,3
abnormally,2
abo,14
aboard,35
abode,6
abolish,22
abolished,23
abolishes,1
abolishing,6
abolition,35
abominable,3
abominably,2
abomination,1
abora,2
aboriginal,3
aborigine,2
aborigines,18
abort,7
aborted,11
abortion,54
abortionist,1
abortions,20
abortive,5
aborts,1
abou,8
abound,1
abounded,1
abounding,1
about,35911
abouts,4
above,654
above-average,1
above-named,1
abracadabra,2
abraham,29
abrasive,5
abreast,9
abroad,200
abrogating,1
abrupt,18
abruptly,4
abs,12
absailing,2
abscess,6
abscesses,4
abscessing,1
abscissa,1
absconded,2
abseil,1
abseiling,1
absen,1
absence,104
absences,10
absent,43
absent-mindedly,1
absentee,3
absenteeism,6
absentees,1
absinity,1
abso,4
absol,5
absolut,3
absolute,324
absolutely,1901
absolutes,2
absolution,1
absolutive,1
absolved,2
absorb,40
absorbed,34
absorbent,5
absorber,1
absorbing,10
absorbs,5
absorption,7
abstain,9
abstained,4
abstaining,5
abstention,2
abstentions,7
abstinence,1
abstract,54
abstracted,1
abstraction,4
abstractions,12
abstracts,1
abstruse,1
absurd,21
absurdities,1
absurdity,2
absurdly,3
abu,7
abugally,3
abundance,15
abundant,15
