word,weight
am,154213
are,1333491
bad,73494
bring,51023
clean,18677
closer,12682
comfortable,9134
coming,114457
computer,8818
do,1441193
faith,9345
family,97165
feel,107314
glasses,4745
going,589149
good,454018
goodbye,11771
have,1591281
hello,80991
help,112603
here,568952
hope,73732
how,433942
hungry,7152
i,4343102
is,3047923
it,4317835
like,681544
music,44883
my,662093
need,236346
no,634923
not,1060351
nurse,6339
okay,659
outside,42170
please,95757
right,463884
success,16615
tell,134558
that,3110587
they,1352607
thirsty,985
tired,8859
up,683393
very,519645
what,1209686
where,270445
yes,344989
you,4178884
