word,weight
a,4809384
a&e,1323
a&m,46
a&p,4
a&r,40
a&s,5
a'ight,11
a'levels,2
a'right,9
a-ha,1454
a-half,163
a-hem,192
a-level,486
a-levels,401
a-list,166
a-team,180
a.a.,3
a.d.,7
a.e.,2
a.j.,4
a.k.a.,3
a.m.,18
a00,3
a1,322
a10,34
a11,39
a113,4
a12,48
a120,8
a127,5
a13,13
a130,6
a14,60
a140,2
a143,2
a15,4
a16,4
a160,2
a17,4
a171,3
a178,2
a18,17
a180,3
a19,27
a1a,3
a1m,6
a2,54
a20,14
a21,11
a23,18
a24,4
a25,3
a259,3
a26,4
a262,13
a27,45
a272,3
a273,2
a29,2
a2s,3
a3,110
a30,31
a303,72
a31,9
a320,7
a330,6
a34,18
a35,13
a350,14
a36,6
a37,2
a38,31
a380,88
a380s,16
a39,6
a3m,5
a4,137
a40,39
a400,7
a400m,16
a4042,2
a406,6
a41,11
a417,2
a4260,2
a429,2
a43,2
a435,2
a44,4
a449,2
a45,13
a452,2
a453,12
a456,2
a46,13
a465,6
a47,7
a470,22
a48,17
a487,2
a49,3
a4e,108
a5,108
a50,5
a500,2
a51,3
a52,10
a530,3
a542,2
a55,27
a57,10
a59,11
a591,4
a6,49
a60,5
a61,2
a614,6
a628,4
a63,15
a64,6
a65,6
a66,14
a68,9
a688,2
a69,2
a7,5
a75,3
a8,17
a80,10
a8011,2
a82,6
a821,2
a83,5
a830,4
a9,51
a90,24
a92,3
aa,1374
aaa,358
aaaa,100
aaaaa,28
aaaaaa,12
aaaaaaa,7
aaaaaaaa,2
aaaaaaaaaa,3
aaaaaaaaaaaaaaaaa,2
aaaaaaaaaaaaah,2
aaaaaaaaaaaaargh,2
aaaaaaaaaaaah,6
aaaaaaaaaaaargh,2
aaaaaaaaaaah,2
aaaaaaaaaaargh,3
aaaaaaaaaaarrrrgh,2
aaaaaaaaaagh,2
aaaaaaaaaah,3
aaaaaaaaaargh,2
aaaaaaaaagh,8
aaaaaaaaah,8
aaaaaaaaargh,6
aaaaaaaagh,9
aaaaaaaah,23
aaaaaaaahhhh,3
aaaaaaaahhhhh,2
aaaaaaaargh,6
aaaaaaaarrrrgh,2
aaaaaaagh,17
aaaaaaah,42
aaaaaaargh,15
aaaaaagh,35
aaaaaaghhh,3
aaaaaah,95
aaaaaahhh,3
