word,weight
-er,2
-ers,1
-s,4
a,1603
ability,1
able,20
able-bodied,1
abortion,7
abortions,2
about,243
above,5
abroad,1
absentee,1
absolute,2
absolutely,15
abundance,1
abused,1
academics,1
academies,1
academy,3
accent,2
accept,4
acceptable,1
accepted,2
accepts,1
access,2
accessible,1
accident,2
accidentally,1
accidents,1
accommodate,1
according,2
account,7
accused,2
aces,1
acorn,1
acre,2
across,1
act,1
action,3
active,3
activities,5
activity,1
acts,1
actual,5
actually,53
ad,1
adamantly,1
add,5
addition,1
additional,1
address,1
adjusted,1
adjusting,1
adjustments,1
administered,1
administration,1
admit,3
adopt,1
ads,1
adult,2
adulthood,1
adults,6
advance,1
advantage,4
advantageous,1
adventurer,1
advice,3
advise,3
aerobics,1
aetna,1
af,2
affect,3
affected,3
affects,1
affixing,1
afford,7
affords,2
afraid,5
after,43
aftermath,2
afternoons,1
ag,3
again,28
against,14
age,9
agency,1
aggravate,1
aggravating,2
aging,1
agnostic,1
ago,15
agree,24
agreed,1
agrees,1
agricultural,1
ahead,13
ai,3
aid,4
aids,1
aim,1
air,12
aircraft,1
alabama,2
alarm,2
alarms,1
alaska,4
alienated,1
alive,3
all,214
allergy,2
alliances,1
allies,1
allow,2
allowance,2
allowed,4
almost,26
alone,8
along,10
already,11
also,36
alternate,1
alternately,1
although,18
always,64
am,19
amarillo,1
amazed,1
amazing,7
amazingly,1
ambiance,1
amendment,2
america,15
american,11
american-type,1
americanism,1
americans,27
amherst,1
among,1
amongst,1
amount,12
amputated,1
an,128
analyze,1
analyzing,2
and,2164
angeles,1
anglo,1
animal,3
animals,2
ankle,1
announced,2
announcement,1
annoyed,2
annual,1
another,31
answer,7
answers,2
anti-communist,1
antonio,1
anxious,1
any,79
anybody,17
anymore,16
anyone,18
anything,55
anytime,1
anyway,23
anyways,3
anywhere,4
apart,4
apartment,6
apartments,5
appalled,1
apparently,5
appeal,5
appeals,1
apple,1
applications,1
apply,1
appointees,1
appreciate,3
appreciation,2
approach,1
appropriate,3
approved,1
arab,2
are,618
area,13
areas,5
arequipa,1
argue,2
argues,1
arguing,1
arises,1
arm,1
armaments,1
army,3
around,56
arrest,1
arrested,1
arrowheads,1
arteries,2
arteriosclerosis,3
article,2
articles,1
arts,1
as,231
ask,7
asked,1
asking,2
aspect,6
ass,1
assembled,1
assembly,1
asses,1
assigned,1
assistance,3
association,1
associations,1
assumed,2
assuming,1
assumption,1
astound,1
astounded,1
at,215
ate,5
atmosphere,1
atomic,2
attached,1
attack,2
attacked,1
attacks,6
attempt,1
attempts,1
attention,6
attitude,7
attitudes,2
attorneys,2
attraction,1
attractive,2
attributed,1
audience,1
august,1
authority,2
auto,3
automatic,2
automatically,3
automobile,2
automotive,1
availability,2
available,4
avenues,1
average,8
avid,1
award,2
aware,6
away,28
awful,8
awhile,4
b,3
ba,1
babies,1
baby,2
baby-sit,2
baby-sitting,1
bachelor,1
back,65
background,4
backing,1
backlash,1
backsliding,1
backwards,3
backyard,1
bad,38
badge,1
badger,1
badly,3
bag,1
bags,1
bait,3
baked,1
balance,2
balanced,1
ball,2
baltimore,5
bambi,1
bananas,1
band,1
bank,3
bar,2
barbecue,1
barefoot,1
bargain,3
bark,1
barrel,1
bars,2
base,3
based,3
bases,1
basic,6
basically,14
basics,1
basis,3
basket,1
basketball,1
bass,2
bat,1
bathroom,3
battle,1
baxter,2
bay,1
be,344
beans,2
bears,2
beat,4
beating,1
beautiful,4
became,4
because,222
become,14
becomes,1
becoming,2
bed,4
bedroom,4
beds,7
bee,1
beef,1
been,124
beer,1
bees,3
before,34
beforehand,2
beg,1
began,2
begi,1
begin,3
beginning,3
behave,1
behavior,2
behind,5
being,53
beings,1
beli,1
belief,1
beliefs,2
believe,44
believed,1
believes,1
bell,2
belong,1
belongs,1
belt,1
belts,1
bench,1
bend,1
beneficial,2
benefit,6
benefited,1
benefiting,1
benefits,7
bergen,1
besides,3
best,31
bet,4
better,51
between,11
beyond,2
biblical,1
bicycle,1
big,52
biggest,9
bikes,2
bilingual,4
bilingualism,1
bill,1
billboard,1
bingo,1
biology,2
bird,2
birds,1
birth,1
birthday,1
bit,49
bite,3
bizarre,1
black,6
blacks,1
blame,1
bless,1
blew,1
blind,1
blitzer,2
block,1
blocks,2
blood,5
bloodless,1
blowing,2
blown,1
board,2
boat,2
bobber,1
body,2
boil,1
bolt,1
bomb,4
bombay,2
bombays,2
bond,1
bonding,3
bonus,8
bonuses,3
book,15
books,4
boot,1
booth,1
border,4
borders,3
boring,1
born,2
borrow,1
borrowed,1
borrowing,1
boss,4
boston,3
both,19
bother,2
bothered,2
bothers,1
bottom,2
bought,11
bounced,1
bowed,1
boxes,1
boy,14
boys,5
brady,1
braniff,1
brash,1
brazil,2
bread,2
break,1
breakfast,7
bred,1
bree,1
breed,13
breeders,1
breeding,1
brighten,2
brightens,1
bring,4
bringing,1
brings,1
british,3
brits,1
broad,2
broaden,1
broadened,2
broccoli,2
broke,4
broken,1
broth,1
brother,6
brother-in-law,1
brothers,1
brought,2
brown,7
brunch,2
brunches,3
brushing,1
brutal,1
brutally,1
bubble,1
bucks,6
buddies,2
budget,8
buffalo,1
buffet,1
buffets,1
bug,2
buick,2
build,2
builders,1
building,5
builds,1
built,3
bulb,1
bulbs,3
bulging,1
bullying,1
bumble,2
bumped,1
bunch,5
bungling,1
bureaucracy,1
burglar,1
burglars,1
burn,4
burner,1
burning,6
burns,1
bus,1
bush,7
bushes,2
business,16
businesses,2
busted,1
busters,1
busy,1
but,544
butler,1
button,4
butts,1
buy,9
buying,1
buys,2
by,62
bye,9
bye-bye,14
c,11
ca,49
cab,1
cabbage,2
cabin,2
cable,2
cadets,1
cadillacs,1
cafeteria,4
cajuns,1
calcutta,1
california,4
call,19
called,15
calling,5
calls,8
came,28
camera,1
campbell,1
camped,1
campinas,1
camping,3
campus,1
can,164
canada,1
canadians,2
cancer,1
candice,1
candy,3
cantaloupe,2
cantaloupes,1
cap,1
capability,1
capable,2
capacity,1
capita,1
capital,10
capitol,1
caprice,1
captured,2
car,26
carburetor,2
carburetors,1
care,51
career,1
carefree,3
careful,4
carefully,1
cares,1
caricature,1
caring,1
carolina,5
carp,3
carriage,1
carried,3
carrots,5
carry,6
carrying,2
cars,5
carson,1
cart,1
carter,2
carve,1
case,12
cases,5
cash,1
cast,2
casting,2
casual,1
cat,4
catch,6
catching,1
catfish,2
catholic,2
catnip,3
cats,10
caught,6
cause,18
caused,1
causes,3
cease,3
celery,1
cement,1
center,3
centers,1
central,4
cents,1
centuries,1
cerebral,1
certain,23
certainly,18
chagrin,1
chain,5
chains,1
chair,1
champion,1
chance,11
chances,1
change,18
changed,15
changes,6
changing,2
channel,2
channels,1
chaos,1
character,7
characters,1
charge,2
charismatic,4
charles,1
chart,1
cheap,2
cheaper,5
check,6
checked,1
checking,1
cheers,3
chemical,4
chemicals,2
chevy,3
chevys,1
chew,1
chicago,2
chicken,10
chickens,3
child,40
childhood,1
children,61
chilton,1
china,1
chinese,5
chlorinated,1
chlorinating,1
chlorine,6
chocolate,3
choice,11
choke,1
cholesterol,11
choose,4
choosing,1
chop,1
chops,1
chores,1
chose,2
chosen,1
chow,2
chowperd,2
christian,2
chubby,1
chunk,1
church,8
churches,1
cigarettes,1
cinema,1
circumstance,1
circumstances,6
cities,4
citizen,1
citizenry,1
citizens,3
city,6
civic,1
civil,1
civilian,1
claim,1
claimed,1
clarion,2
class,5
classic,4
clean,3
cleaning,1
cleanliness,1
cleanup,1
clear,2
clearly,1
clever,2
click,3
clicks,1
client,1
clients,1
climactic,1
climate,1
clinging,1
clogging,1
close,10
closed,3
closely,1
closer,4
club,1
co-ops,2
coalition,1
coast,1
cocaine,1
coffee,1
coils,1
cold,5
cold-blooded,1
collards,1
collect,1
collection,1
college,45
colleges,1
collin,1
color,4
colorado,9
colored,1
colors,1
columbia,1
combination,1
come,47
comedies,2
comedy,2
comes,15
comfort,1
comfortable,1
comfortably,1
comforts,1
comic,1
coming,6
commands,1
comment,2
commercial,1
commercials,1
commit,1
commitment,1
committed,5
committing,1
common,4
communicate,1
communism,2
community,10
commuted,1
compact,1
companies,7
company,34
compare,1
compared,2
comparison,1
compartment,1
compete,1
compl,1
complacent,1
complain,1
complaining,2
complains,1
complete,4
completely,6
comprehensive,1
compressor,1
compulsory,1
computer,11
computers,4
concealed,1
concentrate,1
concentration,1
concept,4
conception,3
concern,6
concerned,8
condenser,1
condition,2
conditioning,2
conditions,2
condone,1
confess,1
confident,1
conform,1
confusion,1
congressional,1
congressmen,1
connected,3
connecticut,1
connection,1
conscience,2
consequently,1
consider,5
considerably,2
consideration,1
considered,5
consisted,1
constantly,2
constituency,1
constitution,1
constitutionally,1
construction,2
consultant,2
consultants,1
consumer,1
contact,2
continental,1
continents,1
continuance,1
continuation,1
continue,1
continued,1
contraceptives,3
contractors,1
contribute,1
contributing,1
control,11
controlled,2
controlling,1
controls,2
controversial,1
convenient,1
conversation,5
conversations,3
convicted,1
convinced,1
cook,6
cooked,3
