configuration,panel,P,intensity,parameter,x_median,relative_abs_median,relative_abs_p95,absolute_bits_median,ratio_median
SUBTLEX top-250,A,0.25,moderate,1.5,0.5114640946601418,12.79098969361789,33.011040649756296,0.09352083362845004,1.1238963104740982
SUBTLEX top-250,A,0.25,strong,12.0,0.9277072357522743,46.475891362510446,91.4202667101085,0.33980670831248827,1.4647589136251045
SUBTLEX top-250,A,0.5,moderate,1.5,0.5422161540916743,6.350460777970959,18.228450470285104,0.11330224710689074,1.060378785110466
SUBTLEX top-250,A,0.5,strong,12.0,0.9307271101486441,22.73967200784447,42.43156558116446,0.4057116525937581,1.2273967200784446
SUBTLEX top-250,A,0.9,moderate,1.5,0.43423826525967085,1.7649004819738927,4.05048918335425,0.06839588861247736,1.016194663427977
SUBTLEX top-250,A,0.9,strong,12.0,0.9121585386802447,5.629614816910488,9.549010569699819,0.21816669658219157,1.0560846216636974
SUBTLEX top-250,B,0.25,moderate,1.0,0.0762695065347972,41.36163572044722,42.140015860870285,0.30241402311054477,1.4136163572044722
SUBTLEX top-250,B,0.25,strong,0.03,0.5274556774006871,273.9051060515052,278.5972224083612,2.0026467432623205,3.7390510605150515
SUBTLEX top-250,B,0.5,moderate,1.0,0.0762861772137789,11.339994211147047,11.596724973232087,0.2023234015961619,1.1133999421114704
SUBTLEX top-250,B,0.5,strong,0.03,0.5279025218779541,75.73753751123843,77.3764475001527,1.3512772522165772,1.7573753751123844
SUBTLEX top-250,B,0.9,moderate,1.0,0.0762689747349738,1.0541970749244554,1.0855511300279923,0.04085371750337541,1.0105419707492445
SUBTLEX top-250,B,0.9,strong,0.03,0.5274856123893321,7.174849926764472,7.381429169697485,0.27804980587539063,1.0717484992676447
"uniform p_S, V=50",A,0.25,moderate,1.5,0.5109503699180769,25.229737087946496,28.218708128742684,0.0714070945468169,1.252297370879465
"uniform p_S, V=50",A,0.25,strong,12.0,0.9238879379376674,92.43928400843251,98.89449087724962,0.26162859605000566,1.924392840084325
"uniform p_S, V=50",A,0.5,moderate,1.5,0.5452547755425798,10.074903273573497,10.831022089580907,0.08425345161252268,1.100749032735735
"uniform p_S, V=50",A,0.5,strong,12.0,0.9270915293875257,36.27527735655222,38.96182570132374,0.30335947080582326,1.3627527735655223
"uniform p_S, V=50",A,0.9,moderate,1.5,0.4219463744276375,1.9336938422967793,2.3855036200709017,0.040622199202166476,1.0193369384229678
"uniform p_S, V=50",A,0.9,strong,12.0,0.9060619708248516,6.674879077294992,7.211801903631126,0.14022295649769934,1.0667487907729498
"uniform p_S, V=50",B,0.25,moderate,1.0,0.10604805698180281,70.58518896688577,73.51383381075921,0.1997754968509499,1.7058518896688577
"uniform p_S, V=50",B,0.25,strong,0.03,0.6866678214852642,440.59428733177515,457.20758212356105,1.2470030037418915,5.405942873317752
"uniform p_S, V=50",B,0.5,moderate,1.0,0.10576649577789965,15.977273446652816,16.6651007306222,0.13361323664203678,1.1597727344665283
"uniform p_S, V=50",B,0.5,strong,0.03,0.6870774919875502,101.20672015485847,104.70509251638444,0.8463620213402823,2.0120672015485845
"uniform p_S, V=50",B,0.9,moderate,1.0,0.10625603139161632,1.2898795812329,1.345608400288007,0.027097229224980923,1.012898795812329
"uniform p_S, V=50",B,0.9,strong,0.03,0.6859294360500728,8.289616657236582,8.567530125662842,0.17414466126648565,1.0828961665723658
