rank,word,count
1,the,532
2,a,264
3,and,255
4,to,212
5,of,190
6,i,175
7,he,168
8,his,163
9,in,128
10,was,124
11,it,115
12,you,103
13,that,94
14,'s,83
15,as,73
16,had,64
17,for,63
18,with,61
19,from,60
20,on,58
21,at,57
22,allan,52
23,but,52
24,n't,52
25,this,52
26,him,51
27,my,47
28,me,42
29,roy,42
30,like,40
31,chad,39
32,they,39
33,is,35
34,would,34
35,just,33
36,be,32
37,out,32
38,up,32
39,not,31
40,do,29
41,down,29
42,so,29
43,what,29
44,before,27
45,all,26
46,arthur,26
47,back,25
48,could,25
49,if,25
50,one,25
